"ID","Description","seed_fraction","median_NES","median_p.adjust"
"hsa04082","Neuroactive ligand signaling",0,-0.960819470087843,0.765300731117024
"hsa04014","Ras signaling pathway",0,-0.959463454922252,0.766755327497075
"hsa00500","Starch and sucrose metabolism",0,-0.962120119620029,0.754325560335792
"hsa01522","Endocrine resistance",0,-0.951547855412049,0.76390587589297
"hsa05160","Hepatitis C",0,-0.95377956013999,0.766555297618322
"hsa04917","Prolactin signaling pathway",0,-0.951635399885025,0.763425950112317
"hsa04068","FoxO signaling pathway",0,-0.938675702470811,0.779546364605234
"hsa04925","Aldosterone synthesis and secretion",0,-0.952115983220549,0.765194095348935
"hsa05205","Proteoglycans in cancer",0,0.952196778929869,0.796276886870649
"hsa04742","Taste transduction",0,0.922229541051577,0.790210853842285
"hsa04081","Hormone signaling",0,0.935817565163062,0.828931032089946
"hsa04623","Cytosolic DNA-sensing pathway",0,-0.936198217931092,0.769030428830349
"hsa04330","Notch signaling pathway",0,0.940423694901956,0.763008471328561
"hsa00562","Inositol phosphate metabolism",0,-0.938482672813062,0.768477224329189
"hsa04918","Thyroid hormone synthesis",0,-0.926545288800586,0.777767196923582
"hsa04371","Apelin signaling pathway",0,-0.922301796066665,0.796144734128092
"hsa00860","Porphyrin metabolism",0,0.923019820129181,0.767704198053544
"hsa04981","Folate transport and metabolism",0,0.91813717642468,0.767740671494541
"hsa04382","Cornified envelope formation",0,0.921734835349124,0.862174156184574
"hsa04340","Hedgehog signaling pathway",0,0.905213522645636,0.804035738377494
"hsa05130","Pathogenic Escherichia coli infection",0,-0.926567179687566,0.804237228320524
"hsa03460","Fanconi anemia pathway",0,-0.928384620785766,0.768677678296806
"hsa00040","Pentose and glucuronate interconversions",0,0.922678376441926,0.766978748033929
"hsa05161","Hepatitis B",0,-0.919771244099463,0.804662942887269
"hsa00260","Glycine, serine and threonine metabolism",0,-0.916144378367101,0.7831317010616
"hsa04215","Apoptosis - multiple species",0,-0.92305582386379,0.770669758668301
"hsa00061","Fatty acid biosynthesis",0,0.914748707915244,0.771552652888569
"hsa04213","Longevity regulating pathway - multiple species",0,-0.9056507918155,0.793729231422805
"hsa04211","Longevity regulating pathway",0,-0.900011991140537,0.813771238117109
"hsa05164","Influenza A",0,0.901616368664217,0.870356104735973
"hsa00270","Cysteine and methionine metabolism",0,-0.907003193281188,0.793729231422805
"hsa04913","Ovarian steroidogenesis",0,0.903080646818468,0.791521109223916
"hsa05167","Kaposi sarcoma-associated herpesvirus infection",0,-0.88145824978188,0.862039637428157
"hsa04658","Th1 and Th2 cell differentiation",0,-0.898737561010112,0.815282794989105
"hsa03320","PPAR signaling pathway",0,0.889945583960292,0.842696780544719
"hsa03430","Mismatch repair",0,0.889464379308548,0.790919926549722
"hsa00541","Biosynthesis of various nucleotide sugars",0,-0.884551476519303,0.801774004883212
"hsa04370","VEGF signaling pathway",0,-0.868340364312692,0.837816455696203
"hsa05212","Pancreatic cancer",0,-0.872425170966431,0.846349995121516
"hsa04550","Signaling pathways regulating pluripotency of stem cells",0,-0.864846515326541,0.869730756457468
"hsa04022","cGMP-PKG signaling pathway",0,-0.863935564227229,0.870695551865681
"hsa05203","Viral carcinogenesis",0,-0.866924077228439,0.87025077551313
"hsa00620","Pyruvate metabolism",0,-0.861110314959399,0.840536366460049
"hsa05417","Lipid and atherosclerosis",0,-0.84380843863324,0.905428757075075
"hsa04071","Sphingolipid signaling pathway",0,-0.861190294636425,0.866416420684159
"hsa00120","Primary bile acid biosynthesis",0,-0.842027094766229,0.846709894598154
