"logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol"
-2.085775,6.28060916666667,-3.99344128825805,0.000617662260787014,0.067036831739518,-0.227543569327677,"FAM135B"
1.82863,4.12592,3.98627937790772,0.00062851449322941,0.067036831739518,-0.243092484851741,"FYB"
1.82998,4.79349333333333,3.98429545468558,0.000631554027328089,0.067036831739518,-0.247399333442615,"CASP4"
-1.71029166666667,6.48616416666667,-3.98377175964998,0.0006323588038467,0.067036831739518,-0.248536183176166,"MEST"
-2.018875,5.00076083333333,-3.98187317472944,0.000635284959716147,0.067036831739518,-0.252657583345224,"ECEL1"
-2.09327166666667,5.31329083333333,-3.98170293706137,0.000635547991095178,0.067036831739518,-0.253027123789588,"PPP1R1C"
-1.54319166666667,3.7058225,-3.97784778710202,0.000641533559593222,0.0672142830975186,-0.261395304163306,"ATG4C"
2.01082833333333,6.4679875,3.97105553673775,0.000652215819374101,0.0672142830975186,-0.2761373923721,"DRD2"
-2.12895,3.57237666666667,-3.96726854079015,0.000658248163983391,0.0672142830975186,-0.284355941553861,"GRIN2B"
2.85528166666667,6.6624825,3.96543488356522,0.0006611888856136,0.0672142830975186,-0.288335126952718,"C1QC"
-1.703565,4.0863775,-3.96094924101421,0.000668437808602055,0.0672142830975186,-0.298068716052988,"MNAT1"
-1.86546166666667,3.8883375,-3.95989861639653,0.000670147017263805,0.0672142830975186,-0.300348383222179,"LNPEP"
1.71545833333333,3.5267775,3.95946244342601,0.000670857878936067,0.0672142830975186,-0.301294785983322,"CLMN"
2.62211166666667,6.05507583333333,3.95916257261792,0.000671347033526325,0.0672142830975186,-0.301945437061672,"ALOX5AP"
-1.40756,3.10169833333333,-3.9569074327072,0.000675037017181812,0.0672142830975186,-0.306838445967845,"MRPS27"
-1.83439666666667,5.69077,-3.95641200699293,0.000675850352911155,0.0672142830975186,-0.307913347513279,"UCK2"
2.06168833333333,5.68903083333333,3.95180594432009,0.000683458790143744,0.0672998142234142,-0.317906369171471,"MLL2"
-1.85995833333333,4.6643625,-3.95121310476728,0.000684444214981861,0.0672998142234142,-0.319192485909142,"GLRX2"
