"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa00500","Starch and sucrose metabolism",29,-0.525522433827955,-1.13363361101641,0.280230326295585,0.661523480359886,0.553099681845069,1265,"tags=17%, list=7%, signal=16%","5167/5836/5837/2992/80201",0.110564716336619
"hsa01240","Biosynthesis of cofactors",130,-0.414528150278368,-1.13233117707887,0.217228464419476,0.598240294869508,0.500188620030863,2464,"tags=17%, list=14%, signal=15%","2729/1723/51805/6472/2990/84274/195814/7363/1738/224/79799/145226/221264/29926/8942/493911/112724/4351/10797/2730/2235/326625",0.126253987849115
"hsa00650","Butanoate metabolism",25,0.543078126869969,1.1295498161245,0.290948275862069,0.668602991550582,0.55901886008053,2035,"tags=20%, list=11%, signal=18%","2571/3155/3033/54988/7915",0.115734447701689
"hsa04110","Cell cycle",153,-0.404742140182785,-1.12593026099025,0.204081632653061,0.583002292369684,0.487448128446162,1454,"tags=10%, list=8%, signal=9%","1032/4172/5925/1029/113130/85417/8454/1022/4088/993/545/891/7272/23047/699",0.137250779610133
"hsa04218","Cellular senescence",152,0.431046344013552,1.1252218374546,0.241650294695481,0.638568004330009,0.53390661180949,698,"tags=6%, list=4%, signal=6%","5728/10758/894/5293/7157/3135/23411/2308/208",0.122107920287081
"hsa05216","Thyroid cancer",37,0.509066541084499,1.12139932231509,0.304535637149028,0.677396577504569,0.566371175966251,3072,"tags=30%, list=17%, signal=25%","10342/7157/1026/7175/83439/5979/4609/5468/7170/10912/6256",0.112843355675562
"hsa04672","Intestinal immune network for IgA production",45,0.501709401238411,1.11987445429045,0.289130434782609,0.668602991550582,0.55901886008053,2120,"tags=22%, list=12%, signal=20%","10673/2826/9020/7852/3119/3112/56477/3126/10803/3123",0.116739204791222
"hsa04072","Phospholipase D signaling pathway",140,0.428071039851339,1.11578746553024,0.265873015873016,0.658326648586017,0.550426811282595,1422,"tags=14%, list=8%, signal=13%","2768/6654/6464/5293/5335/5321/9846/5900/25759/10555/208/10411/160851/2534/5578/5781/255189/5159/56895",0.116234148779716
"hsa05414","Dilated cardiomyopathy",102,0.437660615224918,1.11224899797637,0.253246753246753,0.645311265051839,0.539544651078804,1613,"tags=11%, list=9%, signal=10%","1837/3693/6640/7273/27091/5566/7134/60/7171/10368/3680",0.12563992130984
"hsa05211","Renal cell carcinoma",65,0.479895720184201,1.11006485177763,0.279260780287474,0.661523480359886,0.553099681845069,1692,"tags=17%, list=9%, signal=15%","6654/5908/5293/208/2033/1026/5781/7039/56924/54583/5906",0.115240003147781
"hsa05410","Hypertrophic cardiomyopathy",97,0.438209422147749,1.10454545098442,0.259825327510917,0.653328903233973,0.546248197149874,1613,"tags=11%, list=9%, signal=10%","1837/3693/6640/7273/27091/7134/60/7171/5564/10368/3680",0.124434168630393
"hsa05120","Epithelial cell signaling in Helicobacter pylori infection",69,0.462860594687634,1.09748931158039,0.28421052631579,0.666358463726885,0.557142210706718,2014,"tags=20%, list=11%, signal=18%","5803/23545/9020/4792/5335/245972/10312/5781/836/6300/6868/102/1147/1432",0.115734447701689
